City,Price,Bedroom,Bathroom,Floors,Year,Area,Road Width,Balcony,Drainage,Water Supply,Water Tank,East,North,North East,North West,South,South East,South West,West
16,65550000,6,3,2.0,2073.0,16.0,6.1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
16,65550000,5,3,2.0,2073.0,21.0,6.1,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,65550000,5,3,2.0,2071.0,17.0,6.1,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,65550000,6,4,3.0,2017.0,10.25,6.1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
16,65550000,6,3,2.0,2070.0,19.5,6.1,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,65550000,5,6,3.0,2074.0,12.8125,3.96,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,50000000,5,4,2.0,2073.0,9.25,6.1,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,65550000,10,8,3.5,2017.0,12.875,6.1,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0
16,32500000,6,4,2.5,2065.0,4.0,3.66,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0
26,32000000,4,5,3.0,2075.0,14.0,4.57,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
16,39900000,5,4,3.0,2075.0,4.5,4.27,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
16,15000000,2,2,1.0,2074.0,5.0,3.66,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,52500000,5,5,3.0,2075.0,8.0,6.1,0.0,1.0,1.0,0.0,0,0,0,0,0,1,0,0
16,26500000,6,6,3.0,2076.0,4.0,3.96,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,25500000,6,6,3.0,2076.0,4.0,3.96,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,33000000,6,4,2.5,2056.0,6.0,6.1,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,18500000,4,4,3.0,2058.0,6.0,3.96,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,62000000,7,4,3.0,2058.0,10.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,10500000,0,0,3.0,2058.0,4.0,3.05,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
3,20500000,7,3,3.0,2076.0,3.5,3.05,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
3,22000000,0,0,3.0,2058.0,3.5,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,65550000,95,40,5.0,2073.0,21.0,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,55000000,5,6,3.0,2071.0,19.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,24000000,4,4,2.5,2075.0,4.0,3.96,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
16,37000000,6,6,3.0,2058.0,6.1,9.75,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
16,65550000,6,6,3.0,2070.0,19.0,3.96,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0
19,22000000,7,4,3.5,2076.0,4.5,3.96,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0
16,58500000,6,6,3.0,2076.0,6.5,4.88,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
